date,betten_belegt,betten_frei
2020-09-27,10,0
2020-09-28,9,1
2020-09-29,8,2
2020-09-30,10,0
2020-10-01,10,0
2020-10-02,9,1
2020-10-03,8,2
2020-10-04,8,2
2020-10-05,9,1
2020-10-06,8,2
2020-10-07,10,0
2020-10-08,8,1
2020-10-09,5,4
2020-10-10,8,1
2020-10-11,6,2
2020-10-12,8,1
2020-10-13,7,2
2020-10-14,8,2
2020-10-15,10,0
2020-10-16,5,4
2020-10-17,9,0
2020-10-18,8,1
2020-10-19,7,2
2020-10-20,7,2
2020-10-21,9,0
2020-10-22,8,1
2020-10-23,7,2
2020-10-24,7,2
2020-10-25,7,2
2020-10-26,5,4
2020-10-27,7,1
2020-10-28,6,2
2020-10-29,7,0
2020-10-30,7,2
2020-10-31,4,3
2020-11-01,4,3
2020-11-02,4,3
2020-11-03,9,0
2020-11-04,9,0
2020-11-05,7,1
2020-11-06,8,0
2020-11-07,7,1
2020-11-08,7,1
2020-11-09,6,2
2020-11-10,6,2
2020-11-11,6,2
2020-11-12,7,1
2020-11-13,9,0
2020-11-14,7,2
2020-11-15,8,0
2020-11-16,8,0
2020-11-17,6,2
2020-11-18,8,0
2020-11-19,8,0
2020-11-20,8,0
2020-11-21,6,2
2020-11-22,6,2
2020-11-23,4,4
2020-11-24,7,1
2020-11-25,8,0
2020-11-26,8,0
2020-11-27,8,0
2020-11-28,8,0
2020-11-29,8,0
2020-11-30,7,1
2020-12-01,8,0
2020-12-02,8,0
2020-12-03,7,1
2020-12-04,7,1
2020-12-05,6,2
2020-12-06,4,4
2020-12-07,5,3
2020-12-08,7,1
2020-12-09,5,3
2020-12-10,8,0
2020-12-11,9,0
2020-12-12,5,3
2020-12-13,5,3
2020-12-14,8,0
2020-12-15,7,1
2020-12-16,7,1
2020-12-17,7,1
2020-12-18,9,0
2020-12-19,8,1
2020-12-20,9,0
2020-12-21,9,0
2020-12-22,6,3
2020-12-23,8,1
2020-12-24,7,2
2020-12-25,8,1
2020-12-26,8,1
2020-12-27,6,3
2020-12-28,6,2
2020-12-29,8,0
2020-12-30,7,1
2020-12-31,8,0
2021-01-01,8,0
2021-01-02,8,0
2021-01-03,8,0
2021-01-04,8,0
2021-01-05,8,0
2021-01-06,6,1
2021-01-07,7,0
2021-01-08,6,1
2021-01-09,6,1
2021-01-10,6,1
2021-01-11,6,1
2021-01-12,8,0
2021-01-13,8,0
2021-01-14,6,1
2021-01-15,6,1
2021-01-16,7,0
2021-01-17,7,0
2021-01-18,5,2
2021-01-19,5,1
2021-01-20,5,1
2021-01-21,6,0
2021-01-22,3,3
2021-01-23,2,4
2021-01-24,2,4
2021-01-25,2,5
2021-01-26,5,2
2021-01-27,6,0
2021-01-28,6,0
2021-01-29,7,0
2021-01-30,7,0
2021-01-31,7,0
2021-02-01,7,0
2021-02-02,7,1
2021-02-03,8,0
2021-02-04,8,0
2021-02-05,8,0
2021-02-06,6,2
2021-02-07,6,2
2021-02-08,6,2
2021-02-09,6,1
2021-02-10,6,1
2021-02-11,7,0
2021-02-12,5,2
2021-02-13,3,4
2021-02-14,5,2
2021-02-15,5,2
2021-02-16,8,0
2021-02-17,7,1
2021-02-18,7,0
2021-02-19,7,0
2021-02-20,5,2
2021-02-21,7,0
2021-02-22,6,1
2021-02-23,7,1
2021-02-24,6,2
2021-02-25,7,1
2021-02-26,5,2
2021-02-27,5,2
2021-02-28,5,2
2021-03-01,7,1
2021-03-02,8,0
2021-03-03,7,1
2021-03-04,8,0
2021-03-05,8,0
2021-03-06,7,1
2021-03-07,7,1
2021-03-08,5,3
2021-03-09,5,3
2021-03-10,7,1
2021-03-11,6,2
2021-03-12,7,1
2021-03-13,6,2
2021-03-14,5,3
2021-03-15,5,3
2021-03-16,8,0
2021-03-17,8,0
2021-03-18,9,0
2021-03-19,6,2
2021-03-20,6,0
2021-03-21,6,0
2021-03-22,7,1
2021-03-23,7,1
2021-03-24,5,3
2021-03-25,5,3
2021-03-26,8,0
2021-03-27,4,4
2021-03-28,3,5
2021-03-29,5,3
2021-03-30,7,1
2021-03-31,8,0
2021-04-01,8,0
2021-04-02,7,0
2021-04-03,7,1
2021-04-04,7,1
2021-04-05,7,1
2021-04-06,8,0
2021-04-07,7,1
2021-04-08,8,0
2021-04-09,8,0
2021-04-10,6,2
2021-04-11,6,2
2021-04-12,6,2
2021-04-13,8,0
2021-04-14,7,1
2021-04-15,8,0
2021-04-16,8,0
2021-04-17,9,0
2021-04-18,7,1
2021-04-19,8,0
2021-04-20,7,1
2021-04-21,7,1
2021-04-22,7,1
2021-04-23,6,2
2021-04-24,6,2
2021-04-25,7,1
2021-04-26,7,1
2021-04-27,8,0
2021-04-28,7,1
2021-04-29,7,1
2021-04-30,8,0
2021-05-01,6,0
2021-05-02,6,0
2021-05-03,6,2
2021-05-04,8,0
2021-05-05,7,0
2021-05-06,7,0
2021-05-07,6,1
2021-05-08,7,0
2021-05-09,6,0
2021-05-10,6,1
2021-05-11,7,0
2021-05-12,7,0
2021-05-13,7,0
2021-05-14,7,0
2021-05-15,7,0
2021-05-16,7,0
2021-05-17,7,1
2021-05-18,8,0
2021-05-19,7,1
2021-05-20,7,0
2021-05-21,7,0
2021-05-22,7,0
2021-05-23,8,0
2021-05-24,7,0
2021-05-25,5,2
2021-05-26,5,2
2021-05-27,6,1
2021-05-28,7,0
2021-05-29,7,0
2021-05-30,6,1
2021-05-31,6,1
2021-06-01,6,1
2021-06-02,7,0
2021-06-03,9,0
2021-06-04,9,0
2021-06-05,9,0
2021-06-06,8,1
2021-06-07,8,1
2021-06-08,8,1
2021-06-09,8,1
2021-06-10,7,2
2021-06-11,7,2
2021-06-12,8,0
2021-06-13,6,2
2021-06-14,6,3
2021-06-15,5,4
2021-06-16,8,1
2021-06-17,9,0
2021-06-18,5,3
2021-06-19,7,2
2021-06-20,8,1
2021-06-21,8,1
2021-06-22,8,0
2021-06-23,8,0
2021-06-24,9,0
2021-06-25,9,0
2021-06-26,9,0
2021-06-27,9,0
2021-06-28,6,3
2021-06-29,7,1
2021-06-30,9,0
2021-07-01,7,0
2021-07-02,7,0
2021-07-03,7,0
2021-07-04,7,0
2021-07-05,6,1
2021-07-06,7,1
2021-07-07,8,0
2021-07-08,6,2
2021-07-09,5,3
2021-07-10,5,3
2021-07-11,5,3
2021-07-12,7,1
2021-07-13,6,0
2021-07-14,6,1
2021-07-15,5,2
2021-07-16,7,1
2021-07-17,5,2
2021-07-18,5,2
2021-07-19,7,0
2021-07-20,6,0
2021-07-21,6,0
2021-07-22,6,0
2021-07-23,6,0
2021-07-24,4,2
2021-07-25,5,1
2021-07-26,3,4
2021-07-27,6,1
2021-07-28,6,1
2021-07-29,4,3
2021-07-30,3,4
2021-07-31,4,3
2021-08-01,5,2
2021-08-02,6,1
2021-08-03,3,4
2021-08-04,3,4
2021-08-05,7,0
2021-08-06,7,0
2021-08-07,7,0
2021-08-08,7,0
2021-08-09,6,1
2021-08-10,6,2
2021-08-11,7,0
2021-08-12,7,0
2021-08-13,6,1
2021-08-14,7,0
2021-08-15,5,2
2021-08-16,7,0
2021-08-17,7,0
2021-08-18,5,2
2021-08-19,6,1
2021-08-20,6,1
2021-08-21,7,0
2021-08-22,6,0
2021-08-23,5,3
2021-08-24,7,1
2021-08-25,8,0
2021-08-26,8,0
2021-08-27,5,2
2021-08-28,5,1
2021-08-29,2,4
2021-08-30,5,3
2021-08-31,7,0
2021-09-01,7,0
2021-09-02,6,2
2021-09-03,6,1
2021-09-04,6,0
2021-09-05,4,2
2021-09-06,7,1
2021-09-07,5,3
2021-09-08,5,3
2021-09-09,5,2
2021-09-10,6,1
2021-09-11,6,1
2021-09-12,4,3
2021-09-13,6,1
2021-09-14,5,2
2021-09-15,6,1
2021-09-16,6,1
2021-09-17,6,1
2021-09-18,6,1
2021-09-19,6,1
2021-09-20,5,2
2021-09-21,8,0
2021-09-22,7,1
2021-09-23,7,1
2021-09-24,6,2
2021-09-25,7,1
2021-09-26,5,3
2021-09-27,5,1
2021-09-28,5,2
2021-09-29,6,1
2021-09-30,7,0
2021-10-01,6,1
2021-10-02,5,2
2021-10-03,4,3
2021-10-04,6,1
2021-10-05,6,1
2021-10-06,5,2
2021-10-07,7,0
2021-10-08,7,0
2021-10-09,6,0
2021-10-10,6,0
2021-10-11,4,3
2021-10-12,6,1
2021-10-13,6,1
2021-10-14,6,1
2021-10-15,6,1
2021-10-16,5,1
2021-10-17,5,1
2021-10-18,4,3
2021-10-19,6,1
2021-10-20,7,0
2021-10-21,6,1
2021-10-22,4,3
2021-10-23,4,3
2021-10-24,5,1
2021-10-25,6,1
2021-10-26,5,2
2021-10-27,7,0
2021-10-28,6,1
2021-10-29,5,2
2021-10-30,6,0
2021-10-31,6,0
2021-11-01,6,0
2021-11-02,6,1
2021-11-03,6,1
2021-11-04,6,1
2021-11-05,7,0
2021-11-06,6,1
2021-11-07,7,0
2021-11-08,7,1
2021-11-09,8,0
2021-11-10,10,0
2021-11-11,8,0
2021-11-12,8,0
2021-11-13,8,0
2021-11-14,7,0
2021-11-15,8,0
2021-11-16,5,2
2021-11-17,6,1
2021-11-18,7,0
2021-11-19,7,0
2021-11-20,4,3
2021-11-21,6,1
2021-11-22,8,0
2021-11-23,8,0
2021-11-24,6,1
2021-11-25,6,1
2021-11-26,6,1
2021-11-27,7,0
2021-11-28,6,1
2021-11-29,6,1
2021-11-30,7,0
2021-12-01,7,0
2021-12-02,7,0
2021-12-03,7,0
2021-12-04,7,0
2021-12-05,8,0
2021-12-06,6,1
2021-12-07,8,0
2021-12-08,8,0
2021-12-09,7,0
2021-12-10,7,0
2021-12-11,6,1
2021-12-12,7,0
2021-12-13,8,0
2021-12-14,6,1
2021-12-15,6,1
2021-12-16,6,1
2021-12-17,6,1
2021-12-18,6,1
2021-12-19,6,1
2021-12-20,5,2
2021-12-21,6,1
2021-12-22,7,0
2021-12-23,6,1
2021-12-24,3,3
2021-12-25,4,2
2021-12-26,3,3
2021-12-27,3,3
2021-12-28,6,0
2021-12-29,6,0
2021-12-30,6,0
2021-12-31,5,1
2022-01-01,5,1
2022-01-02,4,2
2022-01-03,6,0
2022-01-04,6,0
2022-01-05,5,1
2022-01-06,5,1
2022-01-07,5,1
2022-01-08,6,0
2022-01-09,6,0
2022-01-10,6,2
2022-01-11,6,1
2022-01-12,7,0
2022-01-13,7,0
2022-01-14,7,0
2022-01-15,7,0
2022-01-16,7,0
2022-01-17,5,2
2022-01-18,6,1
2022-01-19,6,0
2022-01-20,6,0
2022-01-21,5,1
2022-01-22,6,0
2022-01-23,5,1
2022-01-24,6,1
2022-01-25,6,1
2022-01-26,6,1
2022-01-27,5,2
2022-01-28,6,1
2022-01-29,5,1
2022-01-30,6,0
2022-01-31,6,0
2022-02-01,7,0
2022-02-02,7,0
2022-02-03,7,0
2022-02-04,7,0
2022-02-05,7,0
2022-02-06,5,1
2022-02-07,6,1
2022-02-08,6,1
2022-02-09,6,1
2022-02-10,4,3
2022-02-11,3,4
2022-02-12,5,1
2022-02-13,6,0
2022-02-14,6,1
2022-02-15,6,1
2022-02-16,6,0
2022-02-17,6,0
2022-02-18,6,0
2022-02-19,6,0
2022-02-20,6,0
2022-02-21,6,0
2022-02-22,8,0
2022-02-23,5,1
2022-02-24,6,0
2022-02-25,4,2
2022-02-26,4,2
